ts_wall,stm32_timestamp,pixhawk_timestamp,thrust1,thrust2,thrust3,thrust4,thrust5,thrust6,voltage,current,rpm,temperature,torque,load,_FORMAT
1753878104.904014,nan,nan,1666.0,1557.0,1857.0,0.0,2881.0,1101.0,47.5,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878104.9547744,nan,nan,1666.0,1557.0,1857.0,0.0,2882.0,1110.0,47.5,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878105.0054345,nan,nan,1668.0,1567.0,1857.0,0.0,2882.0,1110.0,47.5,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878105.0562673,nan,nan,1675.0,1578.0,1860.0,0.0,2877.0,1115.0,47.5,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878105.107039,nan,nan,1675.0,1578.0,1869.0,0.0,2874.0,1115.0,47.5,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878105.1579926,nan,nan,1674.0,1574.0,1869.0,0.0,2874.0,1110.0,47.5,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878105.2088265,nan,nan,1674.0,1574.0,1864.0,0.0,2874.0,1110.0,47.5,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878105.2594955,nan,nan,1663.0,1564.0,1862.0,0.0,2875.0,1118.0,47.5,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878105.3102465,nan,nan,1663.0,1564.0,1862.0,0.0,2867.0,1113.0,47.5,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878105.3607578,nan,nan,1669.0,1561.0,1862.0,0.0,2867.0,1113.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878105.4117742,nan,nan,1669.0,1561.0,1865.0,0.0,2866.0,1106.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878105.462848,nan,nan,1669.0,1566.0,1855.0,0.0,2856.0,1106.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878105.5137904,nan,nan,1669.0,1573.0,1855.0,0.0,2856.0,1109.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878105.564615,nan,nan,1660.0,1573.0,1856.0,0.0,2856.0,1109.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878105.6157198,nan,nan,1660.0,1573.0,1856.0,0.0,2855.0,1102.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878105.6661654,nan,nan,1668.0,1567.0,1856.0,0.0,2855.0,1102.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878105.717039,nan,nan,1668.0,1576.0,1857.0,0.0,2871.0,1098.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878105.767547,nan,nan,1685.0,1576.0,1855.0,0.0,2879.0,1104.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878105.8181038,nan,nan,1685.0,1570.0,1855.0,0.0,2879.0,1104.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878105.8686523,nan,nan,1689.0,1570.0,1856.0,0.0,2872.0,1104.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878105.9193494,nan,nan,1684.0,1560.0,1855.0,0.0,2879.0,1096.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878105.9702723,nan,nan,1684.0,1560.0,1855.0,0.0,2879.0,1097.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878106.0210755,nan,nan,1684.0,1568.0,1863.0,0.0,2879.0,1097.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878106.0719543,nan,nan,1668.0,1568.0,1863.0,0.0,2882.0,1098.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878106.1225104,nan,nan,1669.0,1571.0,1870.0,0.0,2883.0,1101.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878106.1730812,nan,nan,1669.0,1570.0,1870.0,0.0,2883.0,1101.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878106.224054,nan,nan,1665.0,1570.0,1871.0,0.0,2870.0,1101.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878106.274814,nan,nan,1665.0,1571.0,1871.0,0.0,2870.0,1100.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878106.32538,nan,nan,1665.0,1571.0,1877.0,0.0,2873.0,1100.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878106.3758752,nan,nan,1666.0,1586.0,1874.0,0.0,2873.0,1108.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878106.42682,nan,nan,1668.0,1586.0,1874.0,0.0,2877.0,1108.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878106.47747,nan,nan,1668.0,1577.0,1874.0,0.0,2877.0,1108.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878106.5283105,nan,nan,1668.0,1577.0,1880.0,0.0,2874.0,1112.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878106.5786636,nan,nan,1671.0,1564.0,1862.0,0.0,2885.0,1112.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878106.6296484,nan,nan,1675.0,1566.0,1862.0,0.0,2885.0,1104.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878106.68049,nan,nan,1675.0,1566.0,1860.0,0.0,2874.0,1104.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878106.7315183,nan,nan,1672.0,1566.0,1860.0,0.0,2874.0,1099.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878106.7824728,nan,nan,1672.0,1563.0,1849.0,0.0,2875.0,1094.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878106.8334243,nan,nan,1675.0,1566.0,1849.0,0.0,2875.0,1094.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878106.8843749,nan,nan,1675.0,1566.0,1868.0,0.0,2881.0,1101.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878106.935231,nan,nan,1671.0,1566.0,1868.0,0.0,2881.0,1101.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878106.9860682,nan,nan,1671.0,1566.0,1864.0,0.0,2879.0,1101.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878107.0368683,nan,nan,1665.0,1568.0,1867.0,0.0,2867.0,1091.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878107.0876281,nan,nan,1665.0,1568.0,1867.0,0.0,2867.0,1099.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878107.1381707,nan,nan,1659.0,1574.0,1864.0,0.0,2864.0,1099.0,47.599998474121094,0.10000000149011612,0.0,37.0,nan,nan,<14f
1753878107.189121,nan,nan,1659.0,1574.0,1864.0,0.0,2864.0,1105.0,47.5,1.7000000476837158,1776.0,37.0,nan,nan,<14f
1753878107.239677,nan,nan,1675.0,1578.0,1864.0,0.0,2867.0,1103.0,47.5,1.7000000476837158,1776.0,37.0,nan,nan,<14f
1753878107.2903144,nan,nan,1683.0,1580.0,1864.0,0.0,2867.0,1103.0,47.5,1.7000000476837158,1776.0,37.0,nan,nan,<14f
1753878107.3412063,nan,nan,1683.0,1580.0,1868.0,0.0,2866.0,1103.0,47.5,1.7000000476837158,1776.0,37.0,nan,nan,<14f
1753878107.3919744,nan,nan,1683.0,1589.0,1868.0,0.0,2866.0,1102.0,47.5,13.600000381469727,4432.0,37.0,nan,nan,<14f
1753878107.442656,nan,nan,1688.0,1589.0,1859.0,0.0,2868.0,1102.0,47.5,13.600000381469727,4432.0,37.0,nan,nan,<14f
1753878107.4932916,nan,nan,1694.0,1572.0,1850.0,0.0,2872.0,1098.0,47.5,13.600000381469727,4432.0,37.0,nan,nan,<14f
1753878107.544164,nan,nan,1694.0,1572.0,1850.0,0.0,2872.0,1107.0,47.5,13.600000381469727,4432.0,37.0,nan,nan,<14f
1753878107.5950263,nan,nan,1694.0,1551.0,1850.0,0.0,2861.0,1107.0,47.5,13.600000381469727,4432.0,37.0,nan,nan,<14f
1753878107.645939,nan,nan,1687.0,1551.0,1846.0,0.0,2861.0,1110.0,47.5,13.600000381469727,4432.0,37.0,nan,nan,<14f
1753878107.6969697,nan,nan,1682.0,1548.0,1852.0,0.0,2860.0,1095.0,47.5,7.300000190734863,4421.0,37.0,nan,nan,<14f
1753878107.7478466,nan,nan,1682.0,1575.0,1852.0,0.0,2860.0,1095.0,47.5,7.300000190734863,4421.0,37.0,nan,nan,<14f
1753878107.7987123,nan,nan,1681.0,1575.0,1856.0,0.0,2875.0,1095.0,47.5,7.300000190734863,4421.0,37.0,nan,nan,<14f
1753878107.8501308,nan,nan,1681.0,1575.0,1856.0,0.0,2875.0,1097.0,47.5,7.300000190734863,4421.0,37.0,nan,nan,<14f
1753878107.9009168,nan,nan,1669.0,1568.0,1863.0,0.0,2874.0,1100.0,47.099998474121094,7.800000190734863,4447.0,37.0,nan,nan,<14f
1753878107.9519858,nan,nan,1669.0,1567.0,1855.0,0.0,2866.0,1100.0,47.099998474121094,7.800000190734863,4447.0,37.0,nan,nan,<14f
1753878108.002554,nan,nan,1669.0,1567.0,1855.0,0.0,2866.0,1110.0,47.099998474121094,7.800000190734863,4447.0,37.0,nan,nan,<14f
1753878108.05313,nan,nan,1669.0,1563.0,1855.0,0.0,2862.0,1110.0,47.099998474121094,7.800000190734863,4447.0,37.0,nan,nan,<14f
1753878108.1036584,nan,nan,1674.0,1556.0,1854.0,0.0,2862.0,1105.0,47.099998474121094,7.800000190734863,4447.0,37.0,nan,nan,<14f
1753878108.1543078,nan,nan,1674.0,1556.0,1861.0,0.0,2867.0,1105.0,47.29999923706055,7.300000190734863,4439.0,37.0,nan,nan,<14f
1753878108.204818,nan,nan,1684.0,1547.0,1861.0,0.0,2867.0,1116.0,47.29999923706055,7.300000190734863,4439.0,37.0,nan,nan,<14f
1753878108.2553034,nan,nan,1684.0,1547.0,1852.0,0.0,2858.0,1116.0,47.29999923706055,7.300000190734863,4439.0,37.0,nan,nan,<14f
1753878108.3061504,nan,nan,1680.0,1547.0,1852.0,0.0,2858.0,1110.0,47.29999923706055,7.300000190734863,4439.0,37.0,nan,nan,<14f
1753878108.357103,nan,nan,1685.0,1554.0,1855.0,0.0,2865.0,1116.0,47.29999923706055,7.199999809265137,4445.0,37.0,nan,nan,<14f
1753878108.4081802,nan,nan,1685.0,1564.0,1855.0,0.0,2864.0,1116.0,47.29999923706055,7.199999809265137,4445.0,37.0,nan,nan,<14f
1753878108.4588075,nan,nan,1685.0,1564.0,1867.0,0.0,2864.0,1105.0,47.29999923706055,7.199999809265137,4445.0,37.0,nan,nan,<14f
1753878108.5093434,nan,nan,1696.0,1561.0,1867.0,0.0,2867.0,1105.0,47.29999923706055,7.199999809265137,4445.0,37.0,nan,nan,<14f
1753878108.5602345,nan,nan,1676.0,1561.0,1860.0,0.0,2867.0,1116.0,47.29999923706055,7.199999809265137,4445.0,37.0,nan,nan,<14f
1753878108.611087,nan,nan,1676.0,1573.0,1865.0,0.0,2881.0,1116.0,47.29999923706055,7.199999809265137,4445.0,37.0,nan,nan,<14f
1753878108.6615808,nan,nan,1676.0,1573.0,1865.0,0.0,2881.0,1106.0,47.400001525878906,7.0,4437.0,37.0,nan,nan,<14f
1753878108.7124193,nan,nan,1665.0,1561.0,1862.0,0.0,2878.0,1106.0,47.400001525878906,7.0,4437.0,37.0,nan,nan,<14f
1753878108.7630265,nan,nan,1665.0,1561.0,1862.0,0.0,2878.0,1103.0,47.400001525878906,7.0,4437.0,37.0,nan,nan,<14f
1753878108.8140256,nan,nan,1671.0,1564.0,1858.0,0.0,2881.0,1116.0,47.400001525878906,7.0,4437.0,37.0,nan,nan,<14f
1753878108.8648062,nan,nan,1673.0,1561.0,1858.0,0.0,2885.0,1116.0,47.29999923706055,7.099999904632568,4458.0,37.0,nan,nan,<14f
1753878108.9155185,nan,nan,1673.0,1561.0,1859.0,0.0,2885.0,1112.0,47.29999923706055,7.099999904632568,4458.0,37.0,nan,nan,<14f
1753878108.9664707,nan,nan,1673.0,1560.0,1859.0,0.0,2885.0,1112.0,47.29999923706055,7.099999904632568,4458.0,37.0,nan,nan,<14f
1753878109.0172439,nan,nan,1674.0,1560.0,1859.0,0.0,2875.0,1093.0,47.29999923706055,7.099999904632568,4458.0,37.0,nan,nan,<14f
1753878109.0678947,nan,nan,1674.0,1563.0,1854.0,0.0,2875.0,1093.0,47.29999923706055,7.099999904632568,4458.0,37.0,nan,nan,<14f
1753878109.1183343,nan,nan,1674.0,1563.0,1854.0,0.0,2875.0,1106.0,47.29999923706055,7.099999904632568,4458.0,37.0,nan,nan,<14f
1753878109.1689372,nan,nan,1674.0,1568.0,1854.0,0.0,2879.0,1106.0,47.5,7.400000095367432,4440.0,37.0,nan,nan,<14f
1753878109.2200458,nan,nan,1674.0,1568.0,1852.0,0.0,2879.0,1112.0,47.5,7.400000095367432,4440.0,37.0,nan,nan,<14f
1753878109.2706363,nan,nan,1663.0,1573.0,1872.0,0.0,2870.0,1112.0,47.5,7.400000095367432,4440.0,37.0,nan,nan,<14f
1753878109.3215973,nan,nan,1663.0,1574.0,1872.0,0.0,2861.0,1119.0,47.5,7.400000095367432,4440.0,37.0,nan,nan,<14f
1753878109.3723087,nan,nan,1670.0,1574.0,1865.0,0.0,2861.0,1119.0,47.400001525878906,7.099999904632568,4444.0,37.0,nan,nan,<14f
1753878109.4231157,nan,nan,1670.0,1574.0,1865.0,0.0,2861.0,1118.0,47.400001525878906,7.099999904632568,4444.0,37.0,nan,nan,<14f
1753878109.4737294,nan,nan,1676.0,1565.0,1860.0,0.0,2866.0,1108.0,47.400001525878906,7.099999904632568,4444.0,37.0,nan,nan,<14f
1753878109.5246725,nan,nan,1676.0,1571.0,1849.0,0.0,2869.0,1108.0,47.400001525878906,7.099999904632568,4444.0,37.0,nan,nan,<14f
1753878109.5754652,nan,nan,1667.0,1571.0,1849.0,0.0,2869.0,1103.0,47.400001525878906,7.099999904632568,4444.0,37.0,nan,nan,<14f
1753878109.6263654,nan,nan,1667.0,1563.0,1849.0,0.0,2876.0,1103.0,47.400001525878906,7.099999904632568,4444.0,37.0,nan,nan,<14f
1753878109.6773021,nan,nan,1672.0,1563.0,1850.0,0.0,2876.0,1103.0,47.79999923706055,7.199999809265137,4449.0,37.0,nan,nan,<14f
1753878109.7279005,nan,nan,1674.0,1585.0,1850.0,0.0,2875.0,1106.0,47.79999923706055,7.199999809265137,4449.0,37.0,nan,nan,<14f
1753878109.778801,nan,nan,1674.0,1585.0,1850.0,0.0,2875.0,1113.0,47.79999923706055,7.199999809265137,4449.0,37.0,nan,nan,<14f
1753878109.8295307,nan,nan,1674.0,1579.0,1859.0,0.0,2861.0,1113.0,47.79999923706055,7.199999809265137,4449.0,37.0,nan,nan,<14f
1753878109.8802094,nan,nan,1664.0,1579.0,1859.0,0.0,2861.0,1115.0,47.5,7.599999904632568,4440.0,37.0,nan,nan,<14f
1753878109.9310002,nan,nan,1661.0,1564.0,1857.0,0.0,2857.0,1110.0,47.5,7.599999904632568,4440.0,37.0,nan,nan,<14f
1753878109.9816165,nan,nan,1661.0,1560.0,1857.0,0.0,2863.0,1110.0,47.5,7.599999904632568,4440.0,37.0,nan,nan,<14f
1753878110.032552,nan,nan,1661.0,1560.0,1860.0,0.0,2863.0,1096.0,47.5,7.599999904632568,4440.0,37.0,nan,nan,<14f
1753878110.0832748,nan,nan,1679.0,1568.0,1860.0,0.0,2864.0,1096.0,47.5,7.599999904632568,4440.0,37.0,nan,nan,<14f
1753878110.133916,nan,nan,1679.0,1568.0,1874.0,0.0,2864.0,1096.0,47.5,7.599999904632568,4440.0,37.0,nan,nan,<14f
1753878110.1849105,nan,nan,1693.0,1567.0,1873.0,0.0,2867.0,1098.0,47.29999923706055,7.0,4438.0,37.0,nan,nan,<14f
1753878110.2358947,nan,nan,1690.0,1567.0,1873.0,0.0,2867.0,1096.0,47.29999923706055,7.0,4438.0,37.0,nan,nan,<14f
1753878110.2865248,nan,nan,1690.0,1575.0,1858.0,0.0,2868.0,1096.0,47.29999923706055,7.0,4438.0,37.0,nan,nan,<14f
1753878110.3372715,nan,nan,1690.0,1575.0,1858.0,0.0,2868.0,1100.0,47.29999923706055,7.0,4438.0,37.0,nan,nan,<14f
1753878110.387941,nan,nan,1683.0,1576.0,1866.0,0.0,2883.0,1104.0,47.20000076293945,7.0,4440.0,37.0,nan,nan,<14f
1753878110.4388375,nan,nan,1668.0,1577.0,1866.0,0.0,2872.0,1104.0,47.20000076293945,7.0,4440.0,37.0,nan,nan,<14f
1753878110.4896195,nan,nan,1668.0,1577.0,1867.0,0.0,2872.0,1104.0,47.20000076293945,7.0,4440.0,37.0,nan,nan,<14f
1753878110.540556,nan,nan,1679.0,1577.0,1867.0,0.0,2864.0,1120.0,47.20000076293945,7.0,4440.0,37.0,nan,nan,<14f
1753878110.591137,nan,nan,1679.0,1577.0,1868.0,0.0,2864.0,1117.0,47.20000076293945,7.0,4440.0,37.0,nan,nan,<14f
1753878110.641893,nan,nan,1676.0,1567.0,1857.0,0.0,2873.0,1117.0,47.400001525878906,7.199999809265137,4438.0,37.0,nan,nan,<14f
1753878110.6925528,nan,nan,1676.0,1567.0,1857.0,0.0,2873.0,1096.0,47.400001525878906,7.199999809265137,4438.0,37.0,nan,nan,<14f
1753878110.7433233,nan,nan,1677.0,1560.0,1856.0,0.0,2870.0,1096.0,47.400001525878906,7.199999809265137,4438.0,37.0,nan,nan,<14f
1753878110.793849,nan,nan,1677.0,1567.0,1856.0,0.0,2856.0,1098.0,47.400001525878906,7.199999809265137,4438.0,37.0,nan,nan,<14f
1753878110.8447125,nan,nan,1673.0,1567.0,1874.0,0.0,2856.0,1098.0,47.29999923706055,7.099999904632568,4437.0,37.0,nan,nan,<14f
1753878110.89565,nan,nan,1673.0,1567.0,1874.0,0.0,2870.0,1107.0,47.29999923706055,7.099999904632568,4437.0,37.0,nan,nan,<14f
1753878110.946843,nan,nan,1678.0,1568.0,1854.0,0.0,2870.0,1107.0,47.29999923706055,7.099999904632568,4437.0,37.0,nan,nan,<14f
1753878110.9977996,nan,nan,1670.0,1565.0,1858.0,0.0,2864.0,1102.0,47.29999923706055,7.099999904632568,4437.0,37.0,nan,nan,<14f
1753878111.0482721,nan,nan,1670.0,1565.0,1858.0,0.0,2864.0,1098.0,47.29999923706055,7.099999904632568,4437.0,37.0,nan,nan,<14f
1753878111.0992188,nan,nan,1670.0,1565.0,1858.0,0.0,2863.0,1098.0,47.29999923706055,7.099999904632568,4437.0,37.0,nan,nan,<14f
1753878111.1501596,nan,nan,1661.0,1565.0,1858.0,0.0,2863.0,1093.0,47.29999923706055,7.099999904632568,4437.0,37.0,nan,nan,<14f
1753878111.2009482,nan,nan,1661.0,1575.0,1858.0,0.0,2873.0,1093.0,47.29999923706055,7.199999809265137,4432.0,37.0,nan,nan,<14f
1753878111.2520318,nan,nan,1670.0,1575.0,1853.0,0.0,2869.0,1092.0,47.29999923706055,7.199999809265137,4432.0,37.0,nan,nan,<14f
1753878111.305509,nan,nan,1674.0,1579.0,1864.0,0.0,2869.0,1092.0,47.29999923706055,7.199999809265137,4432.0,37.0,nan,nan,<14f
1753878111.3563395,nan,nan,1674.0,1579.0,1864.0,0.0,2864.0,1088.0,47.29999923706055,7.199999809265137,4432.0,37.0,nan,nan,<14f
1753878111.407075,nan,nan,1674.0,1574.0,1859.0,0.0,2864.0,1088.0,47.5,7.400000095367432,4436.0,37.0,nan,nan,<14f
1753878111.4579232,nan,nan,1686.0,1573.0,1862.0,0.0,2869.0,1099.0,47.5,7.400000095367432,4436.0,37.0,nan,nan,<14f
1753878111.5087044,nan,nan,1690.0,1573.0,1862.0,0.0,2869.0,1111.0,47.5,7.400000095367432,4436.0,37.0,nan,nan,<14f
1753878111.5594654,nan,nan,1690.0,1578.0,1862.0,0.0,2863.0,1111.0,47.5,7.400000095367432,4436.0,37.0,nan,nan,<14f
1753878111.610244,nan,nan,1690.0,1578.0,1873.0,0.0,2863.0,1111.0,47.5,7.400000095367432,4436.0,37.0,nan,nan,<14f
1753878111.66095,nan,nan,1690.0,1580.0,1866.0,0.0,2858.0,1115.0,47.400001525878906,7.099999904632568,4439.0,37.0,nan,nan,<14f
1753878111.7115786,nan,nan,1678.0,1580.0,1866.0,0.0,2867.0,1112.0,47.400001525878906,7.099999904632568,4439.0,37.0,nan,nan,<14f
1753878111.7623818,nan,nan,1678.0,1582.0,1864.0,0.0,2867.0,1112.0,47.400001525878906,7.099999904632568,4439.0,37.0,nan,nan,<14f
1753878111.8129647,nan,nan,1674.0,1582.0,1864.0,0.0,2876.0,1121.0,47.400001525878906,7.099999904632568,4439.0,37.0,nan,nan,<14f
1753878111.8638825,nan,nan,1674.0,1577.0,1867.0,0.0,2876.0,1121.0,47.400001525878906,7.099999904632568,4439.0,37.0,nan,nan,<14f
1753878111.914533,nan,nan,1666.0,1568.0,1867.0,0.0,2874.0,1119.0,47.400001525878906,7.400000095367432,4440.0,37.0,nan,nan,<14f
1753878111.965179,nan,nan,1666.0,1568.0,1863.0,0.0,2874.0,1105.0,47.400001525878906,7.400000095367432,4440.0,37.0,nan,nan,<14f
1753878112.0158465,nan,nan,1666.0,1568.0,1863.0,0.0,2879.0,1105.0,47.400001525878906,7.400000095367432,4440.0,37.0,nan,nan,<14f
1753878112.0663893,nan,nan,1666.0,1554.0,1850.0,0.0,2879.0,1105.0,47.400001525878906,7.400000095367432,4440.0,37.0,nan,nan,<14f
1753878112.1171014,nan,nan,1668.0,1567.0,1852.0,0.0,2879.0,1103.0,47.400001525878906,7.400000095367432,4440.0,37.0,nan,nan,<14f
1753878112.1681309,nan,nan,1668.0,1567.0,1852.0,0.0,2855.0,1130.0,47.29999923706055,7.0,4437.0,37.0,nan,nan,<14f
1753878112.219065,nan,nan,1664.0,1583.0,1869.0,0.0,2855.0,1130.0,47.29999923706055,7.0,4437.0,37.0,nan,nan,<14f
1753878112.2695932,nan,nan,1664.0,1583.0,1869.0,0.0,2867.0,1123.0,47.29999923706055,7.0,4437.0,37.0,nan,nan,<14f
1753878112.3202133,nan,nan,1670.0,1566.0,1861.0,0.0,2867.0,1112.0,47.29999923706055,7.0,4437.0,37.0,nan,nan,<14f
1753878112.3709364,nan,nan,1660.0,1566.0,1861.0,0.0,2872.0,1112.0,47.5,7.199999809265137,4439.0,37.0,nan,nan,<14f
1753878112.421496,nan,nan,1660.0,1563.0,1869.0,0.0,2872.0,1112.0,47.5,7.199999809265137,4439.0,37.0,nan,nan,<14f
1753878112.4724057,nan,nan,1660.0,1563.0,1869.0,0.0,2858.0,1114.0,47.5,7.199999809265137,4439.0,37.0,nan,nan,<14f
1753878112.5232415,nan,nan,1662.0,1567.0,1871.0,0.0,2858.0,1114.0,47.5,7.199999809265137,4439.0,37.0,nan,nan,<14f
1753878112.5739644,nan,nan,1687.0,1564.0,1857.0,0.0,2870.0,1104.0,47.5,7.199999809265137,4439.0,37.0,nan,nan,<14f
1753878112.6244998,nan,nan,1687.0,1564.0,1857.0,0.0,2869.0,1101.0,47.5,7.199999809265137,4439.0,37.0,nan,nan,<14f
1753878112.6753566,nan,nan,1672.0,1565.0,1857.0,0.0,2869.0,1101.0,47.20000076293945,7.199999809265137,4455.0,37.0,nan,nan,<14f
1753878112.7260005,nan,nan,1672.0,1565.0,1857.0,0.0,2867.0,1110.0,47.20000076293945,7.199999809265137,4455.0,37.0,nan,nan,<14f
1753878112.776537,nan,nan,1668.0,1572.0,1848.0,0.0,2867.0,1110.0,47.20000076293945,7.199999809265137,4455.0,37.0,nan,nan,<14f
1753878112.8272746,nan,nan,1668.0,1572.0,1848.0,0.0,2878.0,1099.0,47.20000076293945,7.199999809265137,4455.0,37.0,nan,nan,<14f
1753878112.878069,nan,nan,1690.0,1573.0,1858.0,0.0,2878.0,1099.0,47.20000076293945,7.199999809265137,4462.0,37.0,nan,nan,<14f
1753878112.9285789,nan,nan,1690.0,1573.0,1858.0,0.0,2869.0,1099.0,47.20000076293945,7.199999809265137,4462.0,37.0,nan,nan,<14f
1753878112.9794843,nan,nan,1678.0,1577.0,1856.0,0.0,2869.0,1099.0,47.20000076293945,7.199999809265137,4462.0,37.0,nan,nan,<14f
1753878113.0300121,nan,nan,1678.0,1568.0,1867.0,0.0,2868.0,1115.0,47.20000076293945,7.199999809265137,4462.0,37.0,nan,nan,<14f
1753878113.0806556,nan,nan,1679.0,1568.0,1867.0,0.0,2869.0,1109.0,47.20000076293945,7.199999809265137,4462.0,37.0,nan,nan,<14f
1753878113.1314316,nan,nan,1679.0,1568.0,1867.0,0.0,2869.0,1109.0,47.20000076293945,7.199999809265137,4462.0,37.0,nan,nan,<14f
1753878113.1822543,nan,nan,1689.0,1569.0,1858.0,0.0,2869.0,1109.0,47.400001525878906,6.900000095367432,4440.0,38.0,nan,nan,<14f
1753878113.233334,nan,nan,1689.0,1566.0,1854.0,0.0,2884.0,1109.0,47.400001525878906,6.900000095367432,4440.0,38.0,nan,nan,<14f
1753878113.2889547,nan,nan,1689.0,1566.0,1854.0,0.0,2880.0,1111.0,47.400001525878906,6.900000095367432,4440.0,38.0,nan,nan,<14f
1753878113.3397288,nan,nan,1689.0,1560.0,1860.0,0.0,2880.0,1111.0,47.400001525878906,6.900000095367432,4440.0,38.0,nan,nan,<14f
1753878113.3904119,nan,nan,1672.0,1560.0,1860.0,0.0,2872.0,1107.0,47.400001525878906,7.300000190734863,4456.0,38.0,nan,nan,<14f
1753878113.4409673,nan,nan,1670.0,1570.0,1859.0,0.0,2869.0,1095.0,47.400001525878906,7.300000190734863,4456.0,38.0,nan,nan,<14f
1753878113.4919322,nan,nan,1670.0,1570.0,1859.0,0.0,2869.0,1095.0,47.400001525878906,7.300000190734863,4456.0,38.0,nan,nan,<14f
1753878113.5425813,nan,nan,1670.0,1576.0,1851.0,0.0,2869.0,1095.0,47.400001525878906,7.300000190734863,4456.0,38.0,nan,nan,<14f
1753878113.5933638,nan,nan,1683.0,1576.0,1851.0,0.0,2869.0,1081.0,47.400001525878906,7.300000190734863,4456.0,38.0,nan,nan,<14f
1753878113.6441524,nan,nan,1683.0,1572.0,1854.0,0.0,2869.0,1081.0,47.400001525878906,7.300000190734863,4456.0,38.0,nan,nan,<14f
1753878113.69489,nan,nan,1677.0,1571.0,1873.0,0.0,2869.0,1094.0,47.0,7.599999904632568,4464.0,38.0,nan,nan,<14f
1753878113.7453601,nan,nan,1687.0,1571.0,1873.0,0.0,2869.0,1112.0,47.0,7.599999904632568,4464.0,38.0,nan,nan,<14f
1753878113.7959192,nan,nan,1687.0,1576.0,1871.0,0.0,2869.0,1112.0,47.0,7.599999904632568,4464.0,38.0,nan,nan,<14f
1753878113.8466618,nan,nan,1687.0,1576.0,1871.0,0.0,2868.0,1110.0,47.0,7.599999904632568,4464.0,38.0,nan,nan,<14f
1753878113.8975677,nan,nan,1659.0,1572.0,1860.0,0.0,2869.0,1104.0,47.29999923706055,7.199999809265137,4466.0,38.0,nan,nan,<14f
1753878113.948526,nan,nan,1652.0,1572.0,1860.0,0.0,2869.0,1104.0,47.29999923706055,7.199999809265137,4466.0,38.0,nan,nan,<14f
1753878113.999123,nan,nan,1652.0,1569.0,1869.0,0.0,2859.0,1104.0,47.29999923706055,7.199999809265137,4466.0,38.0,nan,nan,<14f
